iter	MultiClass
0	1.893827497
1	1.591435482
2	1.388945485
3	1.239632081
4	1.1209086
5	1.027961652
6	0.9343126652
7	0.8635899963
8	0.7971617105
9	0.7422900931
10	0.6818643475
11	0.6343554849
12	0.5906598838
13	0.5517014856
14	0.51774444
15	0.4855434263
16	0.4561189666
17	0.4306066733
18	0.4062623558
19	0.3835708097
20	0.3626371861
21	0.3453917657
22	0.3285683643
23	0.31253423
24	0.2975413764
25	0.283799647
26	0.2721662739
27	0.2612838222
28	0.2505325434
29	0.2399520363
30	0.2305927083
31	0.2227167217
32	0.215605211
33	0.2090926785
34	0.201624163
35	0.1941153751
36	0.1874620022
37	0.182309577
38	0.1769494783
39	0.1707839422
40	0.1659605389
41	0.161777502
42	0.157197438
43	0.152787976
44	0.1484440066
45	0.1451431583
46	0.1417358742
47	0.1379824834
48	0.1349607326
49	0.1324650318
50	0.1292902876
51	0.1268643979
52	0.1245028657
53	0.1219853857
54	0.1197994987
55	0.1174583706
56	0.1159478359
57	0.1137242349
58	0.1116002788
59	0.1098398701
60	0.1082311575
61	0.106753555
62	0.1047004387
63	0.1026567941
64	0.1012258702
65	0.09978773793
66	0.09831381141
67	0.09657661441
68	0.09522089549
69	0.09390631258
70	0.09278295996
71	0.09167143573
72	0.09068733832
73	0.08976423162
74	0.08830572648
75	0.08728068649
76	0.08630499672
77	0.08518692428
78	0.08442962212
79	0.08346906865
80	0.08250320476
81	0.08167366808
82	0.08090408264
83	0.08002226816
84	0.07905004227
85	0.07857904504
86	0.0779111152
87	0.0770732962
88	0.07642166566
89	0.07564892685
90	0.07522125337
91	0.0744454985
92	0.07399041649
93	0.07338499674
94	0.07271692341
95	0.07208869967
96	0.07153480331
97	0.07085669531
98	0.07025296006
99	0.06960933287
100	0.06887050546
101	0.06835650257
102	0.06779443248
103	0.06743016637
104	0.06685859263
105	0.06653883686
106	0.06609372146
107	0.06570972633
108	0.06534124545
109	0.06490825475
110	0.06441405817
111	0.06404349892
112	0.06376091788
113	0.06342427681
114	0.06304708293
115	0.06271314092
116	0.06224915787
117	0.06192593073
118	0.06135953095
119	0.06104162206
120	0.06056625763
121	0.0601934899
122	0.05984180085
123	0.05961563687
124	0.0593466312
125	0.05890817013
126	0.05866071698
127	0.05829179578
128	0.05799702241
129	0.05773840861
130	0.05738049972
131	0.05711584934
132	0.05677429887
133	0.05647518439
134	0.05623076577
135	0.05597449542
136	0.05577161511
137	0.05545891072
138	0.05520764907
139	0.05477700766
140	0.0545984549
141	0.05424480732
142	0.05397809813
143	0.05364907144
144	0.05344967686
145	0.05325672323
146	0.05293200314
147	0.0525377548
148	0.05225841405
149	0.05204990599
150	0.05187138279
151	0.0515435554
152	0.05125315937
153	0.05102600749
154	0.05083972581
155	0.05056227032
156	0.05039693114
157	0.050060621
158	0.0498710708
159	0.0496215995
160	0.04944222326
161	0.04922763775
162	0.04909321134
163	0.04894905348
164	0.04879482752
165	0.0486282883
166	0.04843717923
167	0.04830113241
168	0.0480665424
169	0.04792916215
170	0.04769660788
171	0.04749621004
172	0.047284335
173	0.04711618106
174	0.04694506539
175	0.04676264979
176	0.04656420339
177	0.04638832421
178	0.04623698548
179	0.04595277922
180	0.04568969766
181	0.04548694436
182	0.04534000411
183	0.04519358116
184	0.04506634323
185	0.04488938864
186	0.04467561722
187	0.04453717823
188	0.0443131582
189	0.04404631996
190	0.04382985695
191	0.04376597147
192	0.04365666742
193	0.04343454436
194	0.04324500709
195	0.04304299454
196	0.04283705262
197	0.04267949098
198	0.04252887844
199	0.04241652369
200	0.04228222582
201	0.04209254226
202	0.04193749979
203	0.04174089741
204	0.04157604446
205	0.04145580538
206	0.04128965936
207	0.04108041841
208	0.04090886904
209	0.04074161251
210	0.04057928575
211	0.04036300345
212	0.04027230542
213	0.0401652556
214	0.04006347909
215	0.03997428662
216	0.03981882029
217	0.03971322854
218	0.03950918207
219	0.03938732695
220	0.03922965212
221	0.03904379956
222	0.03885476058
223	0.03865871154
224	0.03858415568
225	0.03851929091
226	0.03840001106
227	0.03824079435
228	0.03804711459
229	0.03791654249
230	0.03779631485
231	0.03766040377
232	0.03754345479
233	0.03740393283
234	0.03724804308
235	0.03707097953
236	0.03698745137
237	0.0368263277
238	0.03666554084
239	0.03658381956
240	0.03650442821
241	0.03639489553
242	0.03628290797
243	0.03616792009
244	0.03604413571
245	0.0359045033
246	0.03581071716
247	0.03570584968
248	0.03554729276
249	0.03542037139
250	0.03532419479
251	0.03527556988
252	0.03516219575
253	0.03505225044
254	0.03490919163
255	0.03480868016
256	0.0347025937
257	0.03465540741
258	0.03455933329
259	0.03445707606
260	0.03432006344
261	0.03420999641
262	0.0341003387
263	0.03399403282
264	0.03388277955
265	0.03376931041
266	0.03370448091
267	0.03357605979
268	0.03344708493
269	0.0333204366
270	0.03322633528
271	0.03318787164
272	0.03309310921
273	0.03300108899
274	0.03288214213
275	0.03271399431
276	0.03260735258
277	0.03252130767
278	0.03239513428
279	0.03226170906
280	0.03218051212
281	0.03207888433
282	0.03201373255
283	0.03194060761
284	0.03183431282
