iter	Passed	Remaining
0	9	9851
1	19	9690
2	27	9232
3	38	9538
4	46	9165
5	56	9314
6	64	9160
7	74	9178
8	82	9124
9	91	9022
10	99	8910
11	107	8822
12	115	8775
13	123	8712
14	131	8648
15	139	8568
16	147	8524
17	155	8470
18	163	8425
19	170	8376
20	178	8333
21	186	8291
22	194	8261
23	202	8230
24	210	8216
25	218	8185
26	226	8155
27	234	8138
28	243	8137
29	251	8115
30	258	8091
31	267	8095
32	275	8085
33	283	8054
34	291	8033
35	299	8012
36	306	7983
37	314	7966
38	322	7958
39	331	7949
40	339	7935
41	347	7932
42	355	7911
43	364	7915
44	371	7892
45	380	7881
46	387	7856
47	395	7848
48	403	7836
49	411	7822
50	420	7815
51	428	7806
52	436	7800
53	444	7785
54	452	7767
55	460	7758
56	467	7741
57	475	7726
58	483	7713
59	491	7695
60	498	7676
61	506	7668
62	514	7656
63	522	7640
64	529	7621
65	537	7609
66	545	7593
67	553	7581
68	560	7563
69	568	7548
70	575	7533
71	583	7519
72	591	7509
73	598	7495
74	606	7483
75	614	7470
76	623	7477
77	631	7464
78	640	7465
79	648	7452
80	655	7441
81	663	7431
82	672	7432
83	680	7420
84	689	7424
85	697	7412
86	705	7404
87	713	7395
88	721	7384
89	729	7371
90	736	7357
91	744	7344
92	752	7335
93	759	7322
94	767	7310
95	774	7296
96	782	7287
97	790	7274
98	798	7263
99	805	7250
100	814	7250
101	823	7246
102	831	7239
103	838	7227
104	846	7214
105	853	7202
106	861	7192
107	869	7181
108	877	7175
109	885	7163
110	893	7152
111	900	7140
112	908	7130
113	915	7119
114	924	7111
115	932	7103
116	939	7092
117	947	7085
118	955	7076
119	963	7068
120	971	7057
121	979	7051
122	987	7041
123	995	7033
124	1004	7033
125	1013	7029
126	1022	7030
127	1032	7035
128	1040	7026
129	1050	7030
130	1058	7022
131	1068	7025
132	1077	7023
133	1087	7026
134	1096	7024
135	1105	7020
136	1115	7024
137	1123	7020
138	1134	7024
139	1142	7018
140	1152	7019
141	1161	7017
142	1170	7015
143	1180	7017
144	1189	7012
145	1199	7015
146	1207	7009
147	1218	7017
148	1229	7020
149	1237	7015
150	1248	7021
151	1257	7015
152	1265	7007
153	1274	6999
154	1282	6993
155	1291	6987
156	1299	6977
157	1307	6968
158	1315	6956
159	1323	6947
160	1331	6937
161	1339	6926
162	1346	6914
163	1354	6903
164	1362	6892
165	1370	6883
166	1377	6870
167	1385	6861
168	1392	6849
169	1400	6837
170	1408	6826
171	1416	6819
172	1426	6818
173	1434	6809
174	1441	6797
175	1449	6785
176	1457	6776
177	1465	6766
178	1472	6755
179	1480	6744
180	1488	6736
